passage_id,title,theme,text,question_id,question_number,question_type,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,region_alignment,age_band,qa_status,content_pool
P16,The Incredible Journey,MIGRATION / BIRDS,"Every autumn, millions of birds leave Britain to escape the cold winter months, embarking on journeys of thousands of miles to reach warmer climates in Africa and southern Europe. The swallow, one of the most celebrated migratory birds, travels from Britain all the way to South Africa — a journey of approximately six thousand miles each way.

What makes this feat extraordinary is that swallows navigate without maps, compasses, or any technology. Scientists believe they use a combination of the Earth’s magnetic field, the position of the sun, and landmarks below to find their way. Young swallows making the journey for the first time have never seen their destination, yet they arrive within miles of where their parents wintered.

Not all birds migrate. The robin, for example, stays in Britain year-round, relying on its ability to find food even in harsh conditions.",P16_Q1,1,Fact Retrieval,easy,How far does a swallow travel each way on its migration?,Approximately three thousand miles,Approximately six thousand miles,Approximately ten thousand miles,Approximately one thousand miles,B,The passage states the swallow “travels from Britain all the way to South Africa — a journey of approximately six thousand miles each way.” The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P16,The Incredible Journey,MIGRATION / BIRDS,"Every autumn, millions of birds leave Britain to escape the cold winter months, embarking on journeys of thousands of miles to reach warmer climates in Africa and southern Europe. The swallow, one of the most celebrated migratory birds, travels from Britain all the way to South Africa — a journey of approximately six thousand miles each way.

What makes this feat extraordinary is that swallows navigate without maps, compasses, or any technology. Scientists believe they use a combination of the Earth’s magnetic field, the position of the sun, and landmarks below to find their way. Young swallows making the journey for the first time have never seen their destination, yet they arrive within miles of where their parents wintered.

Not all birds migrate. The robin, for example, stays in Britain year-round, relying on its ability to find food even in harsh conditions.",P16_Q2,2,Vocabulary in Context,medium,"In the passage, the word “embarking” most likely means:",Setting out on a long journey,Returning safely from a difficult trip,Resting before continuing a journey,Flying in a large group for protection,A,“Embarking” means beginning or setting out on a journey or undertaking. The birds are leaving Britain and starting their long trip south. The answer is A.,GL_Bucks,Y6,approved,comprehension_100
P16,The Incredible Journey,MIGRATION / BIRDS,"Every autumn, millions of birds leave Britain to escape the cold winter months, embarking on journeys of thousands of miles to reach warmer climates in Africa and southern Europe. The swallow, one of the most celebrated migratory birds, travels from Britain all the way to South Africa — a journey of approximately six thousand miles each way.

What makes this feat extraordinary is that swallows navigate without maps, compasses, or any technology. Scientists believe they use a combination of the Earth’s magnetic field, the position of the sun, and landmarks below to find their way. Young swallows making the journey for the first time have never seen their destination, yet they arrive within miles of where their parents wintered.

Not all birds migrate. The robin, for example, stays in Britain year-round, relying on its ability to find food even in harsh conditions.",P16_Q3,3,Inference,medium,What does the detail about young swallows making the journey for the first time suggest?,Young swallows are taught the route by their parents before setting off.,The ability to navigate is instinctive — built into the birds rather than learned.,Young swallows follow older birds and copy their movements exactly.,Young swallows are stronger than adults and can fly faster.,B,"The passage says young swallows “have never seen their destination, yet they arrive within miles of where their parents wintered.” This implies the knowledge is innate — they are born with it, not taught it. The answer is B.",GL_Bucks,Y6,approved,comprehension_100
P16,The Incredible Journey,MIGRATION / BIRDS,"Every autumn, millions of birds leave Britain to escape the cold winter months, embarking on journeys of thousands of miles to reach warmer climates in Africa and southern Europe. The swallow, one of the most celebrated migratory birds, travels from Britain all the way to South Africa — a journey of approximately six thousand miles each way.

What makes this feat extraordinary is that swallows navigate without maps, compasses, or any technology. Scientists believe they use a combination of the Earth’s magnetic field, the position of the sun, and landmarks below to find their way. Young swallows making the journey for the first time have never seen their destination, yet they arrive within miles of where their parents wintered.

Not all birds migrate. The robin, for example, stays in Britain year-round, relying on its ability to find food even in harsh conditions.",P16_Q4,4,Authorial Intent,hard,Why does the author mention the robin at the end of the passage?,To suggest that robins are more intelligent than swallows.,"To show that migration is only one strategy for surviving winter, and some birds have adapted differently.",To warn that robins are endangered because they do not migrate.,To explain that all British birds will eventually evolve to migrate.,B,The robin example provides contrast — it shows that not all birds solve the problem of winter in the same way. Migration is one solution; year-round residency is another. The author uses this contrast to broaden the reader’s understanding. The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P16,The Incredible Journey,MIGRATION / BIRDS,"Every autumn, millions of birds leave Britain to escape the cold winter months, embarking on journeys of thousands of miles to reach warmer climates in Africa and southern Europe. The swallow, one of the most celebrated migratory birds, travels from Britain all the way to South Africa — a journey of approximately six thousand miles each way.

What makes this feat extraordinary is that swallows navigate without maps, compasses, or any technology. Scientists believe they use a combination of the Earth’s magnetic field, the position of the sun, and landmarks below to find their way. Young swallows making the journey for the first time have never seen their destination, yet they arrive within miles of where their parents wintered.

Not all birds migrate. The robin, for example, stays in Britain year-round, relying on its ability to find food even in harsh conditions.",P16_Q5,5,Text Structure,medium,How is this passage mainly organised?,As a step-by-step account of a single bird’s migration journey,As an argument for protecting migratory birds from harm,"As a general explanation of migration, with specific examples and a contrasting case at the end",As a comparison of two birds with opposing characteristics,C,"The passage gives a general explanation of bird migration, uses the swallow as a specific example, and then ends with the robin as a contrasting case. The answer is C.",GL_Bucks,Y6,approved,comprehension_100
P17,Children in the Mills,INDUSTRIAL REVOLUTION,"In the early decades of the nineteenth century, children as young as five worked in Britain’s cotton mills, performing tasks that adults found difficult or impossible. Their small hands could reach into running machinery to clear blockages, and their slight frames allowed them to crawl beneath looms to retrieve broken threads. They worked shifts of up to sixteen hours, and accidents were common: fingers were lost, hands were crushed, and children who fell asleep at their machines were beaten awake by overseers.

Reformers campaigned for decades to improve conditions. The Factory Act of 1833 was a landmark moment: it prohibited the employment of children under nine in textile factories, limited those aged nine to thirteen to nine hours of work per day, and required factory owners to provide two hours of education daily. Enforcement remained patchy, but the Act established the principle that the state had a responsibility to protect children from exploitation.",P17_Q1,6,Fact Retrieval,easy,What did the Factory Act of 1833 require factory owners to provide for child workers?,A midday meal and rest period,Two hours of education daily,Medical care for injured workers,Protective clothing and gloves,B,The passage states the Act “required factory owners to provide two hours of education daily.” The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P17,Children in the Mills,INDUSTRIAL REVOLUTION,"In the early decades of the nineteenth century, children as young as five worked in Britain’s cotton mills, performing tasks that adults found difficult or impossible. Their small hands could reach into running machinery to clear blockages, and their slight frames allowed them to crawl beneath looms to retrieve broken threads. They worked shifts of up to sixteen hours, and accidents were common: fingers were lost, hands were crushed, and children who fell asleep at their machines were beaten awake by overseers.

Reformers campaigned for decades to improve conditions. The Factory Act of 1833 was a landmark moment: it prohibited the employment of children under nine in textile factories, limited those aged nine to thirteen to nine hours of work per day, and required factory owners to provide two hours of education daily. Enforcement remained patchy, but the Act established the principle that the state had a responsibility to protect children from exploitation.",P17_Q2,7,Vocabulary in Context,hard,"In the passage, “patchy” most likely means:",Inconsistent and unreliable in different places,Completely absent and never carried out,Strict and thorough throughout the country,Expensive and difficult for factories to fund,A,“Patchy” describes something that is uneven — working well in some places but not others. The sentence acknowledges the law existed but was not consistently applied. The answer is A.,GL_Bucks,Y6,approved,comprehension_100
P17,Children in the Mills,INDUSTRIAL REVOLUTION,"In the early decades of the nineteenth century, children as young as five worked in Britain’s cotton mills, performing tasks that adults found difficult or impossible. Their small hands could reach into running machinery to clear blockages, and their slight frames allowed them to crawl beneath looms to retrieve broken threads. They worked shifts of up to sixteen hours, and accidents were common: fingers were lost, hands were crushed, and children who fell asleep at their machines were beaten awake by overseers.

Reformers campaigned for decades to improve conditions. The Factory Act of 1833 was a landmark moment: it prohibited the employment of children under nine in textile factories, limited those aged nine to thirteen to nine hours of work per day, and required factory owners to provide two hours of education daily. Enforcement remained patchy, but the Act established the principle that the state had a responsibility to protect children from exploitation.",P17_Q3,8,Inference,hard,What does the author imply by describing the tasks children performed as ones “that adults found difficult or impossible”?,Children were more skilled than adults at operating machinery.,"Factory owners specifically chose children because their physical smallness made them useful, not despite it.",The machinery was poorly designed and should have been rebuilt for adult workers.,Children volunteered for the most dangerous tasks in exchange for higher pay.,B,The author is showing that children’s smallness was exploited deliberately — their size was not just tolerated but was the reason they were employed for specific tasks. The answer is B.,GL_Bucks,Y6,approved,comprehension_100
P17,Children in the Mills,INDUSTRIAL REVOLUTION,"In the early decades of the nineteenth century, children as young as five worked in Britain’s cotton mills, performing tasks that adults found difficult or impossible. Their small hands could reach into running machinery to clear blockages, and their slight frames allowed them to crawl beneath looms to retrieve broken threads. They worked shifts of up to sixteen hours, and accidents were common: fingers were lost, hands were crushed, and children who fell asleep at their machines were beaten awake by overseers.

Reformers campaigned for decades to improve conditions. The Factory Act of 1833 was a landmark moment: it prohibited the employment of children under nine in textile factories, limited those aged nine to thirteen to nine hours of work per day, and required factory owners to provide two hours of education daily. Enforcement remained patchy, but the Act established the principle that the state had a responsibility to protect children from exploitation.",P17_Q4,9,Authorial Intent,hard,What is the main purpose of the second paragraph?,To suggest that the Factory Act of 1833 solved all the problems described in the first paragraph,"To show that despite imperfect enforcement, the Act was significant because it established the state’s duty to protect children",To argue that reformers should have campaigned harder for a stricter law,To prove that factory owners willingly improved conditions once the law was passed,B,"The author acknowledges the Act’s limitations (“Enforcement remained patchy”) but emphasises its significance in establishing a new principle. The purpose is to show progress, not perfection. The answer is B.",GL_Bucks,Y6,approved,comprehension_100
P17,Children in the Mills,INDUSTRIAL REVOLUTION,"In the early decades of the nineteenth century, children as young as five worked in Britain’s cotton mills, performing tasks that adults found difficult or impossible. Their small hands could reach into running machinery to clear blockages, and their slight frames allowed them to crawl beneath looms to retrieve broken threads. They worked shifts of up to sixteen hours, and accidents were common: fingers were lost, hands were crushed, and children who fell asleep at their machines were beaten awake by overseers.

Reformers campaigned for decades to improve conditions. The Factory Act of 1833 was a landmark moment: it prohibited the employment of children under nine in textile factories, limited those aged nine to thirteen to nine hours of work per day, and required factory owners to provide two hours of education daily. Enforcement remained patchy, but the Act established the principle that the state had a responsibility to protect children from exploitation.",P17_Q5,10,Fact Retrieval,medium,What was the minimum age for employment in textile factories under the Factory Act of 1833?,Five years old,Seven years old,Nine years old,Thirteen years old,C,The passage states the Act “prohibited the employment of children under nine in textile factories.” The answer is C.,GL_Bucks,Y6,approved,comprehension_100
